asin,title,price,cat_label,categories,description,imUrl
B007RCHCD2,Tracey Boots - Harley Davidson Women's,126.0,Shoes,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Boots']",Full grain leather upper. Full length cushion sock lining.&amp;nbsp;YKK&amp;nbsp;locking inside zipper. Lightweight EVA/rubber outsole. Goodyear welt construction. Shaft Height: 4&amp;quot; Heel Height: 1.5&amp;quot; Color:&amp;nbsp;Black,http://ecx.images-amazon.com/images/I/4165GHnTIOL._SY300_.jpg
B00BO1C32W,Silicone Nipple Covers Floral Shaped Designs Reusable,0.01,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Lingerie, Sleep & Lounge', 'Intimates', 'Accessories', 'Breast Petals']","The must have accessory forwearing under T- shirt, sweaters, sheer bras, sport bras, and bathing suits. These easy to use and even easier to care for, simply wash with warm water and mild soap, and then air dry only,when it is dry, the adhesive regenerate itself for next use. self adhesive silicone nipple petals are hypo-allergenic, and re-usable . The smooth realistic texture gradually thins towards the edges virtually disappearing on the skin for a discrete outline free look under even the sheerest garments.",http://ecx.images-amazon.com/images/I/516FF1b-2KL._SX300_.jpg
B0019LKN2Y,Proforce Shemagh Scarf Blue and White,10.2,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Scarves', 'Fashion Scarves']","Shemaghs- Traditional desert head wear essential for protecting eyes nose mouth and neck from sand. Can also be used as a neck warmer and or hand towel. Currently used by US and British Forces in Iraq and Afghanistan. 100 % Cotton 44"" x 44"" opened out.",http://ecx.images-amazon.com/images/I/41khhw23vhL._SY300_.jpg
B004LGR2RI,"Casio #10078211 Genuine Factory Replacement Band for Watch Model PRG50, PRG50J",12.95,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Watch Bands']","About Casio :  With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.",http://ecx.images-amazon.com/images/I/41uLRfCvFxL._SX300_.jpg
B00280BS3I,Born to Shop Checkbook Cover*MADE IN THE USA #300,12.95,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Wallets, Card Cases & Money Organizers', 'Checkbook Covers']","Our whimsical checkbook covers rival boring bank issue covers.Measures 6 1/2"" by 3 3/4"" closed.
Handmade papers with embroidered appliqu shopping bag was used for this design",http://ecx.images-amazon.com/images/I/41YKTPziaoL._SX300_.jpg
B00ADJCJVG,Pearl Izumi Men's Pro Low Sock,15.0,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Active', 'Athletic Socks']","P.R.O. Transfer Dry yarns powered by Minerale provide optimal moisture transfer, dry time, and odor absorption Anatomic arch, Achilles.",http://ecx.images-amazon.com/images/I/41QLYaD7h1L._SY300_.jpg
B002ZVIMHK,Condor Watch Cap (Coyote Tan),4.95,Men Clothing,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Work Wear & Uniforms', 'Clothing', 'Military', 'Men', 'Accessories']",- Imported Synthetic Microfleece Watch Cap. - Foliage Green is worn with ACU uniforms. - One Size Fits Most,http://ecx.images-amazon.com/images/I/513W3rlLLGL._SY300_.jpg
B00FMWXE6S,Ladies' Two Tone Talking Watch with White Face - Talking Man's Voice,89.9,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']","For those of us who wear both gold and silver jewelry, this two tone gold and silver watch will coordinate with any outfit.  This talking watch offers a clear male voice, and voice feedback setting.  This one button ""Simply Talking"" watch simply talks, without confusing buttons or settings, and the setting button is recessed to avoid accidental resetting.  The classic face is high contrast black numbers on a white background, with bold black hands.  The face measures .88 of an inch.  A classic design with great, easy to use features!  Comes with a elegant expansion band.

Features:
* Voice: Male
* Diameter: .88 inches
* Color: Two Tone
* Style: Ladies
* Band: Metal Expansion (Two Tone)
* One Button Operation
* Talking Time, Date and Year",http://ecx.images-amazon.com/images/I/41lUA5OQYHL._SY300_.jpg
B00G4PIK48,Fashion and Sexy White Cross Printed Pants Milk Silk Women's Leggings,3.9,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Leggings']","Store promotion : Buy three get one . Buy any three leggings get one Leggings for free ( free Leggings sent at random ) If you have a favorite leggings can give us information, we try to satisfy.",http://ecx.images-amazon.com/images/I/41RUr3azGhL._SY300_.jpg
B00E4CQH9S,MF Payback Sunglasses (Black Frame/Polarized Smoke Lens),12.2,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses']","Payback Riding Glasses Feature Shatterproof Polycarbonate Lenses, a Matte Black frame and offer 100% UVA/UVB protection.  Rubber buttons near the temple tip ensure a snug fit and work well under open-face helmets.  Amazing ocular clarity.",http://ecx.images-amazon.com/images/I/31kN7g2B96L._SX300_.jpg
B000HDKE6A,Wenger Standard Issue Watch - Men's,140.0,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']",The Wenger Standard Issue Watch is a durable and attractive analog Swiss made watch. The face is easy to read under any conditions and the genuine leather band is very comfortable.100M/330ft water resistance.Swiss Made.,http://ecx.images-amazon.com/images/I/41N5quFHPhL._SY300_.jpg
B002TMSXTW,Spongebob Squarepants Digital Flip Top Watch with Interchangeable Straps,14.99,Watches,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']",Spongebob Squarepants Digital Flip Top Watch,http://ecx.images-amazon.com/images/I/412ZaCHGmtL._SY300_.jpg
B0061YVMOC,Scala Classico 3Pmd26-2 Sp/1/Two Tone Toyo Fedora-M Hat,17.96,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps', 'Fedoras']","Dorfman Pacific prides itself in being one of the largest full-line, in-stock headwear and Handbag Company in the world. Our company began in 1921 as Dorfman Hat 000 square foot facility in Oakland California and recently celebrated its 80th year in business at our 275000 square foot facility in Stockton California. Founded on the concept that retailers would support a headwear business offering quality products backed by a commitment to strong service Dorfman Pacific is successful today because of its adherence to this philosophy. In addition during our 80 years in business we have continuously changed to keep pace with our customers headwear needs while keeping our commitment to customer service product quality on time deliveries and competitive prices. . Soft Toyo Straw. 2 Brim. Pinchfront Crown. 3-Pleat Linen Band. Scala Custom Hat Pin. Color: Black/Putty. Crown Shape: Pinchfront. Size: Medium.",http://ecx.images-amazon.com/images/I/51UEaKu9M3L._SY300_.jpg
B00B78VTM2,Life is good Women's Vee Fresh Adirondack Tee,20.96,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Tops & Tees', 'Knits & Tees']","Life is good spreads the power of optimism and helps kids in need through its products and its nonprofit, the Life is good Playmaker, dedicated to helping kids overcome poverty, violence and illness. Life is good donates 10% of its net profits to help kids in need.",http://ecx.images-amazon.com/images/I/41InYkM%2Bz4L._SY300_.jpg
B003Z6IBYS,NBA San Antonio Spurs Option Model Sport Watch,31.2,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']",The Option watch features a rotating two-tone ABS resin bezel with bold contrasting number markers to calculate elapsed time. This sport watch is water resistant and features a Japanese quartz movement with two year battery. The case is molded in a silver-tone ABS resin and has a stainless steel back. The black strap is ribbed polyurethane rubber and has a stainless steel buckle closure which adjusts for comfort and many wrist sizes. It comes complete in a tin gift box with a lifetime limited warranty.,http://ecx.images-amazon.com/images/I/41l9OQ-4pPL._SY300_.jpg
B005YS35GE,OccuNomix TN6-JFL TUFF NOUGIES DLX TIE HAT:JUNGLE CAMO,24.16,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps']","Tuff Nougies were originally designed to protect welders but are now tops in many industies! Tuff Nougies help welders, construction workers and others avoid skin and scalp irritation from helmets, hard hats and other head shields. They also absorb annoying and distracting perspiration. For workers with long hair, Tuff Nougies Beanies, Tie Hats and Cap are made to fit snugly, to protect hair from being drawn into machine parts such as chains, belts, rotating devices, suction devices, blowers, and hair that can even be drawn into machines otherwise guarded with mesh. While employers need not require employees with long hair to cut their hair, employers must select, provide and require head covers to protect hair where a hazard may exist. Tuff Nougies Beanies, Tie Hats and Cap also protect a variety of workers from paint, plaster, dust and shop dirt. For outdoor workers and bikers, Tuff Nougies provide head protection from sun and wind. And, Tuff Nougies are so trendy, many foodservice operators have adopted them for kitchen and serving staff. Flame Retardant FR treated fabric is available upon request to keep hair and scalp guarded in work areas where dangerous sparks may pose a threat. Accept no imitations -- Look for the holographic Tuff Nougies hangtag to be sure you're getting genuine Tuff Nougies.",http://ecx.images-amazon.com/images/I/51zQ8aN8IaL._SX342_.jpg
B001948QMA,Xelement Womens Dark Brown Crushed Super Harness Boots - 7,74.95,Shoes,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Boots']","Womens Classic Harness Boot featuring dark brown color leather uppers (very hard to find). The more the boots are scuffed the tougher they look, 1 1/2 inch wooden rubber heel, and 11 inch upper, overall height of 13 Inches, side adjustable strap, good year welt construction for long durable wear. X-element provide bikers real protection, flexibility, comfort, and long term durability of all their products. Good Year Welt Construction boots (long term durability, resole-able, better comfort when wore in). Buy with confidence from the webs most popular leather store and save hundreds off the retail price.",http://ecx.images-amazon.com/images/I/41gXVTuVjRL._SY300_.jpg
B0099FFH0U,Asics Women's Ready Set Long Sleeve Top,17.5,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Active', 'Active Shirts & Tees']",We've used the textured mesh of 100% Cationic Polyester because it provides the comfort and moisture wicking properties so important in an all-condition run top. Comes in great colors and is ready to be customized with graphics or race numbers for all your event needs.,http://ecx.images-amazon.com/images/I/41vj1xy9G-L._SY300_.jpg
B000NP2FLO,Beach Depot Women's White Long Sleeve Rash Guard SPF 50+ Swim Shirt,26.95,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Petite', 'Swim', 'Rash Guards']","The Beach Depot SPF 50+ Women's Long Sleeve Rash Guard shirt provides total UV sun protection and maximum comfort: in or out of the water. The UPF rating of 50+ shields your upper body from harmful rays, while a selection of logo-free stylish colors is sure to turn heads while you are at the beach, pool, or working out at the gym. Helps to eliminate salt water rashes. Takes the edge off cold winds. Fast drying and odor resistant. Durable four way stretch lycra assures top performance and flexibility. Athletic/snug fit by design for wear over bikini, with swim trunks, or under wetsuit. We recommend ordering one or two sizes up for a casual tee fit. Also popular, check out the Beach Depot UPF 50+ Women's Short Sleeve or Cap Sleeve Rash Guard shirt. Available colors: black, carolina blue, navy, pink, red, royal blue, white.",http://ecx.images-amazon.com/images/I/41st4qzop%2BL._SX300_.jpg
B00953B2B4,"Best Seller! - Personalized Flip Flops (Large, Black)",23.95,Shoes,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Sandals']","One of our most well anticipated products to date; our Personalized Flip Flops are a wedding reception must have. Fashioned with a grosgrain foot strap and foam rubber heel for comfort, these breezy shoes are made for dancing the night (perhaps even the early morning) away! Available in White (W) and Black (B) and four different sizes, these customizable reception essentials are perfect for both the bride and all her bridesmaids.

As with most weddings, your big day can be filled with long hours and long lines of family and friends to meet and greet, and nothing pays a bigger toll than your tootsies, but these one of kind flips flops - accented with a dazzling rhinestone - will help ensure you remain the life of the party! So, reward your feet by slipping out of your uncomfortable ceremony heels and into these ultra soothing, reception slippers! Fit for all occasions, these fun flippies also make great gifts for year round celebrating!

Embroidery Details:
The Personalized Flip Flops may be embroidered on each flip flop with a block name (max of 12 characters) in tan, pastel pink, bright pink, red, burgundy, apple green, light blue, aqua, lavender, navy blue, black or white thread at No Additional Cost.",http://ecx.images-amazon.com/images/I/51mGXnJPYRL._SX300_.jpg
B000UPHB8O,"Authentic Models SC050 The Eye of Time - Timepiece - SC050,",37.03,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men']",The hero of our story is an anonymous watchmaker in Regency London. Trying to combine a travel clock that needs to be small while easy to read The poque was candle light little would he know that his spherical desk watch would be a highly collectable treasure. In times of need the lenses doubled to read maps and light the safari-cooking fire.,http://ecx.images-amazon.com/images/I/41VFAZwCT7L._SX300_.jpg
B00JAAFQL4,MECO 1pcs Black 550 Paracord Survival Bracelet Wrist Band with Compass &amp; Whistle,2.99,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']","Features:100% Brand New and High QualityGreat strength &amp; durabilityAs decoration wearing in daily lifeA survival bracelet with plastic buckleKnitted up by several feet of parachute cord which can be used in an emergency or packagingIdeal accessory for camping, boating, hunting, hiking, and other sports activitiesYou can knit again if you don&#39;t like a loose fit on your wristPackage Included:1x Survival Bracelet Band",http://ecx.images-amazon.com/images/I/51tExzGXLBL._SY300_.jpg
B00GX2FUQI,"Color Tuxedo Classic Bow Tie, Cravat, Necktie, Neckwear Adjustable Men's Fashion BowTie - White polkadot on black",5.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Bow Ties & Cummerbunds', 'Bow Ties']",Tuxedo Classic BowTie trendy design Neckwear Adjustable unisex Bow Tie,http://ecx.images-amazon.com/images/I/41CQTcUC23L._SX300_.jpg
B009E3702K,Ibex Men's Shak Lite 1/2 Zip Jacket,98.0,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Active']","The Shak Lite gets a lot of love: accolades in Backpacker magazine, high customer marks year after year, bestseller status amongst the Ibex lines. But the love you get is equal to the love you give (so we&#x2019;re told) and the Shak Lite takes care of its peeps, with a fit that&#x2019;s just right, a year-round weight and showroom looks after months of use.",http://ecx.images-amazon.com/images/I/417YRMZB2OL._SY300_.jpg
B006ZJUB8G,Gramicci Men's Tirreno Polo T-Shirt,22.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Shirts', 'Polos']","Camura DT - NPT Natural Performance Technology. Hemp excels in fiber length, strength, durability and anti-odor. The DT \Double Traverse\"" knit provides high performance ventilationusing natural, non-synthetic fibers keeping the body cool, comfortable, and dry. Bastion garment dyed with low enviromental impact dyes.""",http://ecx.images-amazon.com/images/I/41Xe-xbxBOL._SY300_.jpg
B009YKHCI0,Springfield Leather Company's Six Pocket Deluxe Brown Leather Wallet Interior,11.0,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Wallets, Card Cases & Money Organizers', 'Wallets']","This high quality, genuine leather pig skin interior is great for crafting wallets.  Features six pockets and measures 9-1/8"" x 3-3/8"", brown.  Can be sewn or laced onto your wallet back.  (Wallet back not included.)  
Made in USA.",http://ecx.images-amazon.com/images/I/51b20OXYBdL._SX300_.jpg
B0093FXZPK,"Heat Holders Ladies Wellington Heat Holders, Mulberry Feather, US Shoe Size 5-9, 1 Pair",23.32,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Petite', 'Socks & Hosiery', 'Leg Warmers']","With a soft, cute tufted foldover cuff, this pair of extra long ladies Heat Holders thermal socks will add an element of style to Wellingtons or any long boot. The warmly insulated knee high length monopolises on the extreme warmth that only Heat Holders can provide. With an extra long, intensively brushed pile for heat retention and softness, chunky Heat Holders are called the ultimate thermal sock with good reason. Heat Holders are the only thermal socks proven to keep you warm, with a 2.34 tog rating. By holding more warm air close to the skin than conventional socks, Heat Holders keep legs warmer for longer.",http://ecx.images-amazon.com/images/I/417uveFS1aL._SY300_.jpg
B004IHIWCE,Rikki KnightTM Skull in Stones Design Scuba Foam Coin Purse,13.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Wallets, Card Cases & Money Organizers', 'Wallets']","This Scuba Foam Coin purse displays the image on both sides and measures 5"" x 3"" x 1/8"" with a cool zipper closure. The image quality is vibrant and the wallet is big enough to carry your small change, plus some cards or personal products, etc. Disclaimer: All images are printed directly into the material - The Texture of the image will always be a flat surface. Any images that appears to be 3d, textured, or glittery are flat printed images and are proudly printed in the USA",http://ecx.images-amazon.com/images/I/41zNFiBP1aL._SX300_.jpg
B00B2GQEBA,Timex Expedition Aluminum Resin Camper Slip Thru Watch,37.33,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']",A watch as rugged and stylish as you are. This classic outdoor watch features easy-to-read luminescent hands and markers.INDIGLO night-light with night-modeQuickdate featureAluminum top ringComfortable and durable nylon slip thru strapWater-resistant to 50 meters,http://ecx.images-amazon.com/images/I/41ieZwJspmL._SY300_.jpg
B004DUMMZE,COLUMBIA Mens Bug Me Not Booney Sage,32.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps']",Hat:Type: fabric hatStyle: sun hatApplications: protection against sunMaterial:100% cottonproduct specific size information:Normal CutFit:comfortable fitAdditional Information:moisture regulating Omni-Wick TechnologyOmni-Shade Sun Block 30 UPFOmni-Shieldadjustable knee strap and drawstringSize:Limpet width: 8 cm,http://ecx.images-amazon.com/images/I/3132y4hBwTL._SY300_.jpg
B00B32WBVU,Womens Candy Nipple Tassels One Size Fits All,9.99,Women Clothing,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Exotic Apparel', 'Women']","Hi we are selling these fabulous candy nipple tassels , it will drive them wild ladies , they have the 3 candy tassels on each . So ladies give them a little shimmy they are the ultimate bedroom fun",http://ecx.images-amazon.com/images/I/41bqsU74mNL._SY300_.jpg
B0069T5J5W,Batman Comic Panels DC Comics Superhero Flip Flops Sandals Select Shoe Size: 8/9,16.99,Shoes,"['Clothing, Shoes & Jewelry', 'Men', 'Shoes', 'Sandals']","*Batman Comic Panels DC Comics Superhero Flip Flops Sandals*Brand New*Officially Licensed*Color:White*Size: Adult Men's Size Chart:Medium - 8/9Large - 10/11X-Large - 12/13These flip flops run a little small, we recommend upsizing for a better fit.",http://ecx.images-amazon.com/images/I/619vU7CyHWL._SY300_.jpg
B00EJ2JTUW,Yvette Padded Underwire Women Sports Bra-Adjustable/Racerback/Criss cross,19.9,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Lingerie, Sleep & Lounge', 'Intimates', 'Bras', 'Sports Bras']","Sports bra should be form-fitting for the support you need during workout. Please go up a size if you want it slim fit. DO NOT CHOOSE A SMALLER SIZE, unless you want to make it extremely tight.Brand: YvetteStyle No.: 6032Support Level: MediumStyling: Encapsulation StylingUnderwire: UnderwiredCup padding: Ultra-thin PaddingFeaturesColors: White, White/Lime Green, White/RoseCup Style: Contour(Molded & Padded)Cup Shape: Full CupStrap Type: Adjusted, Non-ConvertibleBack Style: RacerbackClosure Type: 1-row, 3-column hooks and eye closure in the backHow to choose Yvette sports bra?Choose a sports bra according to the sports intensity level. Generally, the larger cup you are (above C cup), the greater level of support you will need.What's my correct bra size?Please refer to the last alternate photo in the product detail page.Step 1: Find your band sizeMeasure snugly and evenly around or just below your existing band. Add 5"" to that measurement and round up to the next even number. This measurement is your band size. If your under bust measures 30.8"", your band size is 36.Step 2: Recheck your band sizeTo double-check your band size, measure around your torso where the front bra straps begin. If this measurement is close to the band size (36), then your measurements are accurate.Step 3: Find your cup sizePlease measure loosely around the fullest part of your bust. Subtract the under bust measurement (30.8"") from the full bust measurement (suppose it is 38.5"") and get the difference (7.7""), which is your cup size. (4"" to choose A cup, 5"" B cup, 6"" C, 7"" D, 8"" DD, 9"" DDD). From the list, we know your cup size is D (7"" D), so your bra size is 36D (US size).",http://ecx.images-amazon.com/images/I/41QSTYdjTvL._SY300_.jpg
B004RU9N7A,"Raider Deluxe Fleece Gaitor (Blaze Orange, One Size)",7.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps', 'Balaclavas']",This deluxe Fleece Gaitor is a great way to protect your neck and lower face while outside in not so ideal conditions. Comfortable soft feel won't chafe your face or neck.,http://ecx.images-amazon.com/images/I/417cOOosAsL._SX300_.jpg
