reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,title,price,cat_label,categories,description,imUrl,file_path
A7HNQVUEBZ7Y8,B001HX37MM,patrick mcmillen,"[0, 0]",It is a good product however it is very flimsy. Could be made stronger as when you push your foot through it twists,3.0,Weak,1390780800,"01 27, 2014",Bosmere N472 Outdoor Boot Scraper and Brush,29.47,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Petite', 'Active', 'Athletic Socks']","The perfect solution for those muddy boots, golf shoes and walking boots.",http://ecx.images-amazon.com/images/I/41vwRMHaVNL._SY300_.jpg,data/amazonproduct/images/B001HX37MM.jpg
A23TVM6UI5ULUD,B0028P8EG2,Zuri Gandy,"[0, 0]","They are really cute I can't wait to wear then in the spring time, they are gonna go with a lot of stuff. They are a great by for someone with fashion since",3.0,Buy it,1394323200,"03 9, 2014",Vintage &quot;Buddy&quot; Wayfarer Sunglasses - (6 Colors Available),8.13,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses']",These glasses embody the bold look and feel of the classic Wayfarers style. Color frame w/silver temple accents Vintage clear lenses from the 80's. Wayfarers are a style of sunglasses seen on many of today's celebrities and are now making a MAJOR comeback. Totally in keeping with current trends they are completely unisex - this style suits everyone!,http://ecx.images-amazon.com/images/I/41KWi7%2BSn-L._SX300_.jpg,data/amazonproduct/images/B0028P8EG2.jpg
AM7AW1HUMD38J,B000GXQMI0,Bryce Peterson,"[0, 0]","Love this hat gives me swag, makes me feel like I'm going on a safari swag swag swag swag swag",5.0,Awesome!,1400457600,"05 19, 2014",Sloggers 4471GY Classic Cotton Hat with Wind Lanyard Rated UPF 50+ Maximum Sun Protection  - Grey - Adjustable Medium to Large,19.02,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps', 'Baseball Caps']",Sloggers - Classic Cotton Hat with Wind Lanyard Rated UPF 50+ Maximum Sun Protection - Grey - Adjustable Medium to Large - Style 4471GY,http://ecx.images-amazon.com/images/I/41plHgdYUlL._SY300_.jpg,data/amazonproduct/images/B000GXQMI0.jpg
A10QO24S5OM11J,B005IRPCQ2,E,"[0, 0]",This mask is amazing!! Worth every penny. I had so many compliments on it at a recent masquerade ball! It was even better in person!,5.0,Love it!!,1333670400,"04 6, 2012",Purple and Silver Venetian Feather Mask,17.98,Women Clothing,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories', 'Masks', 'Women']","This luxurious mask is made to be worn all night showing elegance and richness in a beautiful design. It is perfect for a Halloween, Masquerade, Mardi Gras, Prom or New Years Costume Party. The mask has a detailed look to it with glitter swirl design on mask. It has purple flowers on one side and feather on the other of the mask.",http://ecx.images-amazon.com/images/I/51nLxV0VYkL._SX300_.jpg,data/amazonproduct/images/B005IRPCQ2.jpg
A3FD3TWCFDZ3CI,B004LUXICC,Lisa Carbonaro,"[0, 0]","I would give it 5 starsI think this little tool is great for traveling, Its light and can damage. I totally recommend this idem. But put it in your luggage!!!!!!!",5.0,small and great,1393718400,"03 2, 2014",Safety Cat Women's Self Defense Keychain - Teal,5.0,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Keyrings & Keychains']","IMPORTANT: When Flying Pack in Check-in Luggage Only!
The Safety Cat is a self defense, personal protection tool designed mainly for women. As women we are told for safety reasons to have our keys in our hands as we go to and from our cars. Many of us even hold our keys between our fingers walking through parking lots or out doing errands so we will be able to fight off an attacker. Unfortunately, that can be cumbersome and awkward. If you're in the position of fighting off an attacker the keys may shift in your hand making it difficult for the fight to continue. The Safety Cat self defense keychain will eliminate this problem. When holding the Safety Cat, your two fingers will be placed in the eyes of the cat and the face of the cat will rest securely in the palm of your hand. The smooth, sleek design of the Safety Cat will feel very comfortable in your hand and you will be able to grasp it firmly. Remember, the Safety Cat is used for self defense purposes only, but if you're fighting for your life the unique design of the Safety Cat is made for striking at the eyes of your attacker or attacking any fleshy part of the body.",http://ecx.images-amazon.com/images/I/31c0pDjvZKL.jpg,data/amazonproduct/images/B004LUXICC.jpg
A1N8LKR6RKRN2P,B00B2IN1Q4,JFunk,"[0, 0]","&#34;Works Great, needs a little sweat to work&#34;.As the title states, it works great, but only seems to work if you get a little moisture, between you and the heartbeat monitor band, which is bad for my girlfriend, because even when she is consistently above 170 BPM, it takes her about 10-15 minutes of that to even work up a sweat. But it still works, just not effectively right away~So if you don't sweat that much, it may not work perfectly for you.",4.0,"Works Great, needs a little sweat to work~",1389744000,"01 15, 2014",Timex Men's Zone Trainer Digital HRM Flex Tech Chest Strap &amp; Full-Size Watch,68.82,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']",Take your training further with the Timex Ironman Zone Trainer digital heart rate monitor. The in-zone graphic display and memory chronograph meet the needs of future enthusiasts who pursue their goals in the gym or outside.,http://ecx.images-amazon.com/images/I/51d8txSyctL._SX300_.jpg,data/amazonproduct/images/B00B2IN1Q4.jpg
A6OL4ZKQFA2HW,B002X9MY82,James J. Reynolds,"[0, 0]","I bought this bag because I needed something to carry my medical supplies in...what I got, was a HUGE surprise as to just how much this bag actually holds.Before buying this bag, I would carry 2 - 3 separate bags; 1 for medical supplies, 1 for personal items, & sometimes 1 for clothing items.Having bought this bag, I now carry only one bag for everything.This is a very well made 100%  22 oz cotton canvas bag.The flap that covers the front of the bag has a large pocket on both the inside AND the outside; when you open the flap, there are pockets for a small note pad & pens/pencils; a pocket for cell phone/keys/ what have you; there is a LARGE inside pocket that can hold a pair of blue jeans, a T-Shirt, underwear, socks & an extra pair of shoes.On the back side of the bag there is a zipper that goes from the left side all around to the right side; inside this is a medium sized pocket; across from that(also on the backside of the bag) is a medium sized pocket along with some small pockets for various goodies you may wish to carry.I know that some women use this for a purse & now that I own one, I can understand why. There is very little that this bag can not hold, including but not limited to, a 17 inch lap top computer.I highly recommend this bag, you will not be disappointed.",5.0,BLACK  M-51 ENGINEERS FIELD BAG,1368576000,"05 15, 2013",Black M-51 Engineers Field Journey Bag,35.84,Men Clothing,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Work Wear & Uniforms', 'Clothing', 'Military', 'Men', 'Outerwear']","Black M-51 Engineers Field Journey Bag - The Ultimate Carry-All For Business Or Travel. Large Laptop Size Main Compartment. Large Black Document Compartment With 3/4"" Zipper Opening. Dozens Of Pouches, Compartments and Pen Holders. Large Size Plastic Covered Document Sleeve. Storm Flap. Cell Phone Pouch. Adjustable Shoulder Strap. Top Carry Handle. Nickel Plated Hardware. Heavy Weight 22 oz. Cotton Canvas. Dimensions: 12"" x 14"" x 6"".",http://ecx.images-amazon.com/images/I/51J9Jc%2BwBZL._SX300_.jpg,data/amazonproduct/images/B002X9MY82.jpg
ALSZW8EZLLLGL,B004GHSW9O,average user,"[0, 0]",I wear this kayaking a lot and its wet for hours.  Never had a moments problem with it.  I like the white color...very summer,5.0,great bargain,1376870400,"08 19, 2013",Timex 50 Lap Midsize Ironman Watch - Women's,37.23,Watches,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']",The Timex 50 Lap Midsize Ironman Watch for women is a sleek sports watch that is ideal for training or casual wear. The watch has tons of features to keep you on time no mater what your doing.Countdown timer with intervals.Alarm.Indiglo Night-Light.100m water resistant.,http://ecx.images-amazon.com/images/I/41H6aHsUaWL._SY300_.jpg,data/amazonproduct/images/B004GHSW9O.jpg
A8JH03V8OWGIH,B0048J6VMU,Rosalind F. Perry,"[0, 0]",this product is working well for me-i wash my cap and put it in the buddy to drip dry and it's ready in the morning,5.0,Just what I needed,1364601600,"03 30, 2013",Ball Cap Buddy,7.95,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps', 'Baseball Caps']",Ball Cap Buddy,http://ecx.images-amazon.com/images/I/51Dq2vx4q4L._SY300_.jpg,data/amazonproduct/images/B0048J6VMU.jpg
A2Q34VR8INWAEG,B001ULDADW,schoenig,"[0, 0]",Good size numbers.  Wouldn't fit on my scope but fits on my pen just fine.  Easy to read in any light.,5.0,Always on time,1370649600,"06 8, 2013",Prestige Medical Analog Stethoscope Watch,17.46,Watches,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']",Attaches to all stethoscope tubing and features a 24 hour dial and a 15 second marked quadrant.,http://ecx.images-amazon.com/images/I/41Ct5Y7QK2L._SY300_.jpg,data/amazonproduct/images/B001ULDADW.jpg
A3M1PTJ4FSDXZZ,B00C9Q8PGE,John Kopec,"[3, 3]","these boots are just like the ones I had when I was a kid, to go to school and play in the snow. Easy on and off.Ordering and shipping was quick and painless",5.0,great overboots,1383609600,"11 5, 2013","Liberty DuraWear Rubber Fabric Lined Protective Arctic Men's Boot with 5 Buckles, Size 11, Black",31.65,Shoes,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Work Wear & Uniforms', 'Shoes', 'Men']","Liberty rubber DuraWear protective footwear fabric lined arctic boots. Keep your feet safe and dry with DuraWear protective footwear. These rubber boots are made from the highest quality rubber compound for longer, comfortable wear and less fatigue to the user. Economical PVC boots are available in both plain and steel toe as well. Boot consists of 5 buckles, bar-tread outsole, over the shoe style. Black color. Size 11.",http://ecx.images-amazon.com/images/I/41pUi7zuF1L._SX342_.jpg,data/amazonproduct/images/B00C9Q8PGE.jpg
A1KGCDF343R1QP,B0001YRNKU,Minka Maddocks,"[0, 4]","I cannot review this item.  It is a Christmas gift.  The product looks nice, but I don't know about the fit.",3.0,Can't review,1386892800,"12 13, 2013","Dickies Occupational Workwear CR393RNB 34x32 Denim Cotton Relaxed Fit Men's Industrial Jean with Straight Leg, 34&quot; Waist Size, 32&quot; Inseam, Indigo Blue",16.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Jeans']","Dickies men's industrial relaxed fit jean with straight leg. Designed for industrial laundries. Deep front pockets. Heavy duty ratcheting brass zipper. 14 ounces premium denim, 100 percent cotton, garment washed. Rivets at stress points. Roomy seat and thigh. Traditional fit; fits over boots. Decorative back pocket stitching. Industrial wash friendly.",http://ecx.images-amazon.com/images/I/41weB4OGW2L._SX342_.jpg,data/amazonproduct/images/B0001YRNKU.jpg
A1ZPMV3O7ZVP7V,B0063AS7S8,Sandra,"[0, 0]",This necklace is so cute and love that its a watch. I got a lot of compliments on it. The chain is a great length too.,5.0,love,1403222400,"06 20, 2014",Liroyal fashion necklace pocket watch,4.7,Watches,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Watches']",1 x pocket watch.,http://ecx.images-amazon.com/images/I/41kwziT2lAL._SY300_.jpg,data/amazonproduct/images/B0063AS7S8.jpg
A3PDXPCW7UK3CO,B00012KDRM,"Michelle ""Michelle""","[1, 1]","I have to get up early for rowing practice and my husband is a light sleeper, so this product has been great to have.  The watch itself is ugly and rather big and clunky -- I would not wear it around town or anything -- but it works well.  I have never accidentally switched it off by pressing the button.  I do use a backup alarm, but have never had to use it because the vibrating alarm failed.  Try it.",4.0,Very useful,1189468800,"09 11, 2007",Vibralite 2 with Plain Band,49.95,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women']","The vibration on your wrist from the VibraLITE2 watch will remind you of your important event without annoying others. What is really great about this vibrating watch is that you don't have to hear the alarm to know that it's signaling you. This vibrating watch for the hearing impaired is especially nice for pilots, students (taking exams), and of course the deaf and hard of hearing. VibraLITE2 is ideal for noisy environments. Note: This watch is water resistant ONLY. It is NOT waterproof. While it will withstand some exposure to moisture and water, it is NOT intended to be worn for swimming, diving or in the shower. It should never be submerged in water. Reminders from VibraLITE2 are especially helpful for Medical Conditions/Medication Reminders, Time Management, Timing Procedures, Tests or Presentations, Self-Regulation / Keeping Focused, Noisy Environments, Great as a Travel Alarm, Any time you do not want to disturb others. The uses are endless. VibraLITE2 features: Vibration Alarm - (auto-shutoff after approx. 20 sec.), Electro-Luminescent Back Light, Second Clock for Second Time Zone, 12 or 24 Hour Clock Choice, Date Display, Stop Watch, Two Alarm Settings, Chime Option for Alarms, Hourly Alert Option, Stainless Steel Back, 1-Year Warranty (on watch functions only). Watch w/ Plain Band",http://ecx.images-amazon.com/images/I/41hCjDVdJHL._SY300_.jpg,data/amazonproduct/images/B00012KDRM.jpg
A33B80YYOTRU93,B002X9MY82,"Michael J. Kelly ""kamikaziechameleon""","[1, 1]","I bought this bag as a mobile professional, I wanted something that was both large in capacity not in size as well as very compartmentalized.  The bag's layout is nearly perfect, with only a few strange design decisions marring its utility.  For the price it was good but inside 2 weeks of use several components broke already.  That being said of products on the market this one is pretty unique, especially with the fold out back.  The key flaw that bothers me is the placement of all lift on the top of the flap.  I plan to correct at least the strap placement myself with the handle being of less concern.  I'll get into why its a major set back in cons below.The Good:Great material and general build quality, the layout of pouches etc is perfect and this bag is just extremely functional for any mobile professional weather a journeymen or a businessman.  The inside of the flap has a clear plastic sleeve great for placing a map or something else you would like to be able to view at leisure without handling it.  The back folds open to expose a great series of pouches for storing anything from small camera components to art supplies to tools.  The back aslo still functions with a separate flap as a quick access Velcro pouch for things you'll regularly need to get your hands on. The front, interior and sides are pretty typical bag layout with pouches and pen holders and a pocket perfectly sized for a note/address book.  You can fit up to a 16.5"" laptop in this bag and still have room for a DSLR and some other toys/tools.The Bad:Cheap parts, the zipper pulls(the little string extensions not the zipper itself) are horrible, first thing I pulled one off with a gentle tug when opening a compartment.  Then the snap for the flap broke by the end of the week, note I only take my bag to work and back with me no back packing or anything intense it just broke when I was walking down some steps.  The shoulder strap is not of the same quality as the rest of the bag, while its made of the same material the stitching is not as neat, the clips don't swivel and the shoulder pad adds no comfort.  I would immediately replace this if I were going to travel with the bag.The snap breaking wouldn't be an issue if it wasn't so necessary.  The flap needs the snap because the strap and handle are secured to the flap.  This means that when you lift your bag you open it up to an extent.  The simple act of putting the shoulder strap so it lifts from the side would have alleviated many issues, as is you can't flip open the top and easily access the guts of the main reservoir with the bag hanging from your shoulder.  This is a HUGE mistake, and it seems like a rather stupid one with only 5 minutes of demoing the bag you'd have realized this limitation.  Shoulder bags are becoming more popular with fellas as they add function you can carry and access them more easily than a back pack etc, that is not the case here.Conclusion:This product is a series of trade offs.  To get a bag of this size with a similarly functional layout would typically be 4 times as much if you could even find its unique combination of features.  Sadly silly oversights are extremely damaging to this bags function.  A better strap attachment point would have simply removed the need for a flap fastener in the first place, lol.  Zipper pulls always tear away over time so that doesn't bother me too much.  However my brother was looking at getting the same bag different color as he loves the size/utility of it but I warned him away sighting my concerns and he agreed.  I'm a pretty pro-active consumer and will simply get strap clips stitched onto the side of the bag to resolve that major issue and keep on using it.  Being that it will hold the laptop I'm going to get and the camera I have plus attachments I'm a pretty happy guy at 35 dollars, still I don't understand why these cost free revisions weren't embraced as they would take this from a C product in need of light costumer modding to a AAA bargain.",3.0,The good and bad.,1332806400,"03 27, 2012",Black M-51 Engineers Field Journey Bag,35.84,Men Clothing,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Work Wear & Uniforms', 'Clothing', 'Military', 'Men', 'Outerwear']","Black M-51 Engineers Field Journey Bag - The Ultimate Carry-All For Business Or Travel. Large Laptop Size Main Compartment. Large Black Document Compartment With 3/4"" Zipper Opening. Dozens Of Pouches, Compartments and Pen Holders. Large Size Plastic Covered Document Sleeve. Storm Flap. Cell Phone Pouch. Adjustable Shoulder Strap. Top Carry Handle. Nickel Plated Hardware. Heavy Weight 22 oz. Cotton Canvas. Dimensions: 12"" x 14"" x 6"".",http://ecx.images-amazon.com/images/I/51J9Jc%2BwBZL._SX300_.jpg,data/amazonproduct/images/B002X9MY82.jpg
A1TR5H9N9Z1QBF,B00C9QDRU8,HyperDashSC2,"[0, 0]","I ordered these boots expecting a simple, all-black design like the one shown in the picture here. I instead got the ones with the tacky, bright orange soles. If I wanted those, I would have ordered the ones that at least say how they actually look.",3.0,Wrong color,1379980800,"09 24, 2013","Liberty DuraWear Rubber Fabric Lined Protective Men's Knee Boot with Reinforced Plain Toe Cap, 16&quot; Height, Size 12, Black",29.82,Shoes,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Work Wear & Uniforms', 'Shoes', 'Men']","Liberty rubber DuraWear protective footwear fabric lined boot. Keep your feet safe and dry with DuraWear protective footwear. These rubber boots are made from the highest quality rubber compound for longer, comfortable wear and less fatigue to the user. Economical PVC boots are available in both plain and steel toe as well. Boot consists of plain toe, reinforced toe cap, bar-tread outsole, over the sock style and steel shank. Meets ANSI Standard Z91 PT91 I/75 C/75. 16-inches height. Black color. Size 12.",http://ecx.images-amazon.com/images/I/41CjqmMMzxL._SX342_.jpg,data/amazonproduct/images/B00C9QDRU8.jpg
A2KE6FTJDHSA01,B00936AC6Y,jennifer o'donnell,"[0, 1]",I WAS REALLY SURPRISED BY THE FIT AND HOW COMFORTABLE THEY ARE. WOULD HIGHLY RECOMMEND THESE TO ANYONE WHO WANT S A PAIR OF NICE HOUSESHOES OR SOMETHING TO WEAR AROUND THE YARD.LIGHT WEIGHT. FEELS LIKE YOU ARE NOT WEARING ANYTHING.I AM GOING TO ORDER MORE FOR FRIENDS. MAKE A GREAT CHRISTMAS PRESENT EVEN FOIR YOUR HUBBY AND GREAT FOR CANOEING.,5.0,LOVING THE FIT,1377129600,"08 22, 2013","Nufoot Mary Janes Slipper, Black, Small",9.0,Shoes,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Slippers']","Nufoot is reinventing indoor footwear, where comfort and style coexist to make for happier feet. Made with the latest sports technology, Nufoot is water-resistant, germ-proof, anti-microbial and super comfortable as the skid-resistant soles gives you a good grip on any indoor surface. No matter where you are - in your home, in the office, in the gym, in the library, on an airplane or cruise ship, Nufoot is the perfect companion for your feet.",http://ecx.images-amazon.com/images/I/41pa362zFxL._SX300_.jpg,data/amazonproduct/images/B00936AC6Y.jpg
